lot frontage,lot area,overall qual,mas vnr area,exter qual,bsmt qual,bsmt exposure,bsmtfin type 1,total bsmt sf,heating qc,gr liv area,kitchen qual,totrms abvgrd,fireplaces,fireplace qu,garage finish,garage cars,garage area,garage qual,garage cond,wood deck sf,saleprice,ms subclass_60,ms zoning_RM,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_StoneBr,roof style_Hip,exterior 1st_VinylSd,exterior 2nd_VinylSd,foundation_CBlock,foundation_PConc,sale type_New,lot shape_Reg,mas vnr type_BrkFace,mas vnr type_None,mas vnr type_Stone,garage type_Attchd,garage type_Detchd,bldg age,bldg remod age,garage age,total bath
100.0,34650,5,0.0,3,3,2,3,1056.0,3,1056,3,5,0,0,3,2.0,572.0,3,3,264,145000,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,65,65,65.0,2.0
92.0,10573,6,3.0,3,3,1,3,1453.0,5,1453,3,6,1,3,2,2.0,530.0,3,3,0,187500,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,59,59,59.0,3.0
65.0,8450,5,0.0,3,3,1,6,894.0,5,894,3,5,1,4,1,1.0,336.0,3,3,416,138500,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,55,11,47.0,2.0
69.27272727272727,11700,5,0.0,3,3,1,4,942.0,5,1938,4,7,1,4,1,1.0,240.0,3,3,0,198000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,83,25,83.0,2.0
75.0,8250,5,0.0,3,3,1,1,957.0,2,1991,3,9,0,0,0,0.0,0.0,0,0,0,119600,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,125,14,14.0,2.0
60.0,8064,5,0.0,3,3,2,1,672.0,5,924,3,6,1,1,1,2.0,576.0,3,3,0,122900,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,71,14,17.0,1.0
80.0,9600,8,0.0,4,4,1,5,2524.0,3,2524,4,9,1,4,3,2.0,542.0,3,3,474,278000,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,39,39,39.0,5.0
69.27272727272727,11435,8,0.0,3,4,1,1,792.0,2,1517,4,7,2,4,1,2.0,400.0,3,3,0,230000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,91,70,89.0,1.0
30.0,9549,8,0.0,4,4,3,2,1494.0,5,1494,5,6,1,4,3,2.0,481.0,3,3,0,270000,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,25,24,25.0,4.0
60.0,10950,6,0.0,3,3,1,5,948.0,3,948,3,5,0,0,1,2.0,410.0,3,3,0,125000,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,68,68,68.0,1.0
79.0,10637,8,336.0,4,5,4,6,1705.0,5,1718,4,7,1,4,2,3.0,826.0,3,3,208,297000,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,13,12,13.0,3.0
80.0,9000,6,82.0,3,4,4,1,160.0,2,1142,3,5,1,4,2,1.0,384.0,3,3,0,113500,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,62,62,62.0,1.0
41.0,2665,5,0.0,3,3,1,5,757.0,5,1475,3,6,1,3,2,1.0,336.0,3,3,104,127000,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,43,43,43.0,2.0
105.0,11751,6,480.0,3,4,1,4,1844.0,5,1844,3,7,1,3,2,2.0,546.0,3,3,0,190000,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,43,43,43.0,2.0
80.0,9600,7,320.0,3,3,1,5,1242.0,2,1242,3,6,1,3,1,2.0,528.0,3,3,0,175500,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,47,47,47.0,3.0
60.0,8428,5,0.0,3,4,1,6,990.0,5,990,3,5,0,0,1,1.0,384.0,3,3,256,146000,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,26,26,25.0,2.0
75.0,9937,5,0.0,4,3,1,4,1256.0,4,1256,3,6,0,0,3,1.0,276.0,3,3,736,147500,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,55,55,55.0,4.0
107.0,13891,10,0.0,5,5,4,6,2076.0,5,2076,5,7,1,4,3,3.0,850.0,3,3,216,465000,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,14,14,14.0,5.0
75.47692307692307,9101,5,104.0,3,4,3,6,1097.0,5,1110,4,4,1,3,3,2.0,602.0,3,3,303,165500,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,42,42,42.0,2.0
81.0,12150,5,335.0,3,3,1,1,1050.0,5,1795,3,7,0,0,1,1.0,352.0,2,3,0,131500,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,66,66,66.0,2.0
70.0,11200,5,0.0,3,3,1,3,1040.0,5,1040,3,5,0,0,1,1.0,384.0,3,3,0,129500,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,55,55,55.0,2.0
100.0,9670,8,40.0,3,3,1,2,608.0,3,1873,3,9,2,4,3,2.0,786.0,2,3,0,257076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,85,70,85.0,3.0
60.0,10998,5,0.0,3,3,1,2,984.0,5,1604,3,6,0,0,1,2.0,660.0,3,3,0,117000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,79,60,43.0,2.0
60.0,7200,7,0.0,3,4,1,1,776.0,3,1502,3,6,1,4,2,1.0,270.0,3,3,0,149000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,89,20,89.0,3.0
80.0,9920,5,110.0,3,3,1,3,1056.0,3,1063,3,6,0,0,2,1.0,280.0,3,3,0,128000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,66,66,66.0,2.0
36.0,2448,7,106.0,4,4,1,1,764.0,5,1626,4,6,0,0,2,2.0,474.0,3,3,0,155000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,17,16,17.0,4.0
63.98290598290598,2998,6,513.0,4,4,1,6,756.0,5,1524,4,4,0,0,1,2.0,440.0,3,3,0,166000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,20,20,20.0,4.0
65.0,7804,4,0.0,3,3,1,4,1122.0,3,1981,4,7,2,3,1,2.0,576.0,3,3,431,135000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,92,70,39.0,3.0
80.0,16692,7,184.0,3,4,1,4,1392.0,3,2784,4,12,2,3,2,2.0,564.0,3,3,0,250000,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,42,42,42.0,6.0
21.0,1476,4,0.0,3,3,1,6,546.0,5,1092,3,5,0,0,0,0.0,0.0,0,0,200,76000,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,50,50,50.0,3.0
75.0,10170,6,522.0,3,3,1,1,216.0,3,1575,4,5,1,4,1,2.0,400.0,3,3,0,155000,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,69,69,69.0,3.0
80.0,9364,6,143.0,3,3,1,5,663.0,3,1352,3,7,0,0,3,1.0,299.0,3,3,379,158000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,51,51,51.0,3.0
24.0,2544,7,0.0,4,4,1,6,600.0,5,1200,4,4,0,0,2,2.0,480.0,3,3,0,149500,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,16,15,16.0,5.0
82.0,9888,5,0.0,3,3,1,4,936.0,3,936,3,5,0,0,1,1.0,240.0,3,3,0,121000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,66,45,66.0,1.0
68.0,7942,6,0.0,3,3,1,3,1040.0,3,1040,3,6,0,0,3,1.0,293.0,3,3,0,136000,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,67,67,67.0,3.0
72.02564102564102,15038,6,0.0,3,4,1,3,916.0,4,1636,3,7,1,3,3,2.0,386.0,3,3,168,173000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,24,24,24.0,4.0
92.0,11764,8,348.0,4,4,1,6,1152.0,5,2270,4,9,1,4,3,3.0,671.0,3,3,132,290000,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,21,13,21.0,4.0
75.0,9000,8,0.0,4,4,3,6,1184.0,5,2610,5,11,1,4,3,2.0,550.0,3,3,208,303477,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,13,13,13.0,4.0
92.5,20062,7,0.0,4,4,4,5,1420.0,4,1483,3,4,2,3,2,2.0,690.0,3,3,496,270000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,43,19,43.0,4.0
81.0,7308,5,0.0,2,3,1,3,936.0,4,1740,5,6,1,4,1,1.0,225.0,2,2,0,122250,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,100,70,100.0,1.0
70.0,8750,5,0.0,3,3,1,3,1382.0,4,1382,4,6,0,0,1,1.0,350.0,3,3,280,153000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,65,65,65.0,3.0
70.0,8402,5,0.0,3,4,1,5,1120.0,5,1120,3,6,0,0,0,0.0,0.0,0,0,0,147000,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,13,13,13.0,1.0
63.0,4000,7,0.0,3,4,1,6,531.0,3,1098,3,5,1,4,1,1.0,216.0,3,3,0,148500,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,90,25,90.0,2.0
32.0,3363,7,117.0,4,4,1,1,976.0,5,1708,4,7,0,0,1,2.0,380.0,3,3,0,130000,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,16,16,16.0,2.0
94.0,13615,9,510.0,5,5,4,1,1802.0,5,1802,5,7,1,4,3,3.0,843.0,3,3,158,372000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,14,14,14.0,4.0
43.0,3013,7,145.0,4,4,4,6,1362.0,5,1506,4,6,1,4,3,2.0,440.0,3,3,142,213490,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,15,15,15.0,2.0
44.0,17485,7,96.0,4,4,4,6,1508.0,5,1508,4,5,2,3,2,2.0,572.0,3,3,0,308030,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,11,10,11.0,2.0
75.47692307692307,23730,7,668.0,4,5,2,6,1840.0,5,2032,4,7,0,0,3,3.0,786.0,3,3,0,300000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,24,23,24.0,4.0
79.0,8910,6,0.0,3,3,2,5,655.0,5,1194,3,6,1,2,3,2.0,539.0,3,3,0,159500,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,61,61,66.0,3.0
24.0,2522,7,50.0,4,4,1,1,970.0,5,1709,4,7,0,0,1,2.0,380.0,3,3,0,137500,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,16,16,16.0,2.0
73.0,8688,7,228.0,4,4,3,1,1616.0,5,1616,4,7,0,0,2,3.0,834.0,3,3,208,232000,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,15,15,15.0,2.0
61.6031746031746,6291,6,0.0,4,3,1,1,768.0,3,768,3,4,0,0,1,2.0,440.0,3,3,0,93850,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,90,70,90.0,1.0
72.77464788732394,17529,5,65.0,3,3,1,1,872.0,2,872,2,5,1,4,1,1.0,322.0,2,2,0,105000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,96,70,96.0,1.0
60.0,6324,4,0.0,3,3,1,1,520.0,2,520,2,4,0,0,1,1.0,240.0,2,3,49,68500,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,93,70,100.0,1.0
80.0,11600,5,361.0,3,3,1,3,1105.0,3,2274,3,12,0,0,1,2.0,480.0,3,3,0,154300,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,60,60,60.0,2.0
50.0,7288,5,0.0,4,3,1,1,936.0,5,1601,3,6,0,0,0,0.0,0.0,0,0,0,129850,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,95,17,17.0,2.0
35.0,4571,5,0.0,3,3,1,4,616.0,5,1232,3,6,0,0,1,2.0,480.0,2,2,280,114000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,110,70,100.0,1.0
63.0,17423,9,748.0,5,5,1,6,2216.0,5,2234,5,9,1,4,3,3.0,1166.0,3,3,0,501837,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,12,11,11.0,3.0
100.0,12665,5,0.0,3,3,2,1,876.0,4,1416,3,7,1,4,1,3.0,720.0,3,3,418,153900,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,105,70,71.0,3.0
60.0,9000,4,0.0,3,3,1,5,864.0,4,864,3,5,0,0,1,2.0,576.0,3,3,200,130000,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,49,14,34.0,1.0
32.0,4500,6,197.0,3,5,1,6,1189.0,5,1189,3,4,0,0,2,2.0,392.0,3,3,0,160500,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,23,23,23.0,3.0
48.0,6373,9,572.0,5,5,1,6,1666.0,5,1666,4,6,1,4,2,2.0,575.0,3,3,228,310090,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,14,14,14.0,3.0
67.0,10083,7,0.0,4,4,1,6,1176.0,5,1200,4,5,0,0,2,2.0,555.0,3,3,0,184900,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,17,17,17.0,3.0
70.0,13300,5,0.0,3,4,1,3,928.0,3,928,3,4,0,0,1,1.0,252.0,3,3,261,132000,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,64,20,64.0,1.0
80.0,9600,5,128.0,3,4,2,5,1288.0,3,1336,3,6,1,2,2,2.0,502.0,3,3,312,163000,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,51,51,51.0,4.0
30.0,3215,7,120.0,4,4,3,6,600.0,5,1200,4,4,0,0,2,2.0,480.0,3,3,0,155000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,16,16,16.0,4.0
80.96551724137932,11104,6,0.0,3,3,3,6,1427.0,4,1427,3,7,0,0,2,2.0,516.0,3,3,0,183000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,51,51,51.0,4.0
70.75324675324676,15295,7,254.0,4,4,2,6,860.0,5,1992,4,7,2,3,2,2.0,608.0,3,3,225,211000,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,24,18,24.0,5.0
70.0,9109,7,0.0,4,4,1,2,754.0,5,1540,4,6,0,0,2,2.0,495.0,3,3,140,184000,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,26,26,26.0,5.0
64.0,7018,5,0.0,3,0,0,0,0.0,3,1535,3,8,0,0,1,2.0,400.0,3,3,0,118858,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,41,41,41.0,2.0
75.19245283018869,14112,5,86.0,3,3,3,6,1152.0,3,1152,3,6,1,4,2,2.0,484.0,3,3,227,180500,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,56,56,56.0,2.0
80.0,3523,8,30.0,4,4,1,6,1141.0,5,1151,4,5,0,0,3,2.0,484.0,3,3,0,166000,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,14,13,14.0,3.0
88.0,15312,6,54.0,3,3,3,4,1138.0,5,1138,3,6,1,3,2,2.0,480.0,3,3,0,148000,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,60,60,60.0,3.0
74.0,7450,5,0.0,3,3,1,3,894.0,4,1074,4,6,1,4,1,2.0,396.0,3,3,0,124000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,64,64,54.0,1.0
60.0,7313,9,246.0,5,5,1,6,1561.0,5,1561,5,6,1,4,3,2.0,556.0,3,3,203,277500,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,15,15,15.0,3.0
83.0,10019,8,397.0,4,4,1,5,1342.0,5,2726,4,9,1,5,2,3.0,725.0,3,3,307,350000,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,25,25,25.0,4.0
53.0,15401,9,296.0,5,5,4,6,1884.0,5,1884,5,7,1,4,3,3.0,670.0,3,3,214,387000,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,16,16,16.0,3.0
58.0,9098,4,0.0,3,3,2,5,528.0,5,605,3,5,0,0,0,0.0,0.0,0,0,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,18,18.0,2.0
103.0,16280,8,0.0,5,4,2,6,1426.0,5,1671,5,6,1,4,2,2.0,550.0,3,3,280,290000,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,44,13,44.0,4.0
72.0,9392,3,0.0,3,2,1,1,245.0,3,797,3,5,0,0,0,0.0,0.0,0,0,0,44000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,120,70,70.0,1.0
71.0,12209,6,0.0,3,5,1,5,804.0,5,1961,4,7,1,3,3,2.0,560.0,3,3,125,215000,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,19,18,19.0,5.0
79.0,13110,5,144.0,3,4,1,6,1153.0,5,1193,3,6,0,0,3,2.0,501.0,3,3,140,146500,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,48,48,48.0,3.0
63.98290598290598,2651,7,0.0,4,4,1,6,673.0,5,1382,4,6,0,0,1,2.0,490.0,3,3,153,165000,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,20,20,20.0,5.0
60.0,8520,6,0.0,3,3,1,3,714.0,3,2526,4,10,1,4,1,1.0,216.0,3,3,88,136000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,104,70,104.0,2.0
75.19245283018869,39384,6,902.0,3,4,4,5,1705.0,5,1390,5,4,2,4,1,2.0,550.0,3,3,0,252000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,63,63,63.0,4.0
36.0,2628,7,106.0,4,4,1,1,764.0,5,1626,4,6,0,0,2,2.0,474.0,3,3,0,175500,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,17,17,17.0,4.0
57.0,6406,5,0.0,3,3,1,5,690.0,3,1558,3,7,1,4,1,2.0,400.0,3,3,0,150000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,81,70,81.0,3.0
75.19245283018869,12342,5,0.0,3,3,1,1,978.0,3,1422,3,6,1,3,2,1.0,286.0,3,3,0,139900,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,60,42,60.0,1.0
52.0,6240,5,0.0,3,3,1,1,1078.0,3,1573,3,8,1,4,1,2.0,360.0,3,3,0,162900,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,90,28,90.0,2.0
87.0,10000,6,261.0,3,3,1,1,1116.0,3,1116,3,5,0,0,1,2.0,440.0,3,3,0,160000,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,58,58,58.0,3.0
72.77464788732394,9000,2,0.0,3,0,0,0,0.0,2,660,2,5,0,0,0,0.0,0.0,0,0,0,63900,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,73,70,70.0,1.0
80.0,11088,6,144.0,3,3,1,5,1140.0,4,1707,3,7,1,3,3,2.0,479.0,3,3,0,184000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,42,22,42.0,2.0
134.0,17755,5,132.0,3,3,1,4,1466.0,3,1466,2,6,2,4,3,2.0,528.0,3,3,0,149900,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,61,61,61.0,3.0
63.98290598290598,4765,9,260.0,4,4,3,6,1614.0,5,1638,5,5,1,3,3,2.0,495.0,3,3,230,300000,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,20,20,20.0,3.0
92.5,10532,5,275.0,3,3,2,3,988.0,4,1721,3,7,2,3,1,2.0,626.0,3,3,50,145000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,60,60,60.0,3.0
65.0,15426,6,0.0,3,4,1,6,928.0,5,1764,4,7,0,0,2,2.0,470.0,3,3,276,231500,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,23,23,23.0,5.0
63.0,13907,5,0.0,3,3,1,4,996.0,5,996,3,6,1,4,0,0.0,0.0,0,0,144,108000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,80,51,51.0,2.0
70.0,8750,5,0.0,3,3,1,3,1202.0,3,1202,3,6,0,0,2,1.0,304.0,3,3,0,120000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,64,64,64.0,3.0
72.77464788732394,9945,5,57.0,3,3,1,3,988.0,3,988,3,5,0,0,1,2.0,572.0,3,3,0,128500,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,59,59,57.0,2.0
56.0,8960,5,0.0,3,3,1,1,1008.0,4,1028,3,5,1,4,1,2.0,360.0,3,3,0,115000,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,93,70,93.0,1.0
50.0,3500,5,0.0,3,3,1,2,720.0,3,1284,3,5,0,0,1,1.0,240.0,3,3,0,110000,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,73,70,72.0,3.0
67.84615384615384,24572,9,1050.0,4,4,1,6,994.0,3,2944,4,9,1,4,2,3.0,864.0,3,3,140,150000,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,43,43,43.0,6.0
74.0,9056,8,0.0,4,5,3,1,707.0,5,1414,4,6,1,4,3,2.0,403.0,3,3,100,178000,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,16,16,16.0,4.0
70.0,12320,7,0.0,3,3,1,1,637.0,5,1609,4,8,2,4,1,3.0,579.0,3,3,0,199500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,30,57.0,3.0
